index,input,reference,max_jaccard_train_2gram,max_jaccard_dev_2gram,max_jaccard_synth_2gram,max_jaccard_train_3gram,max_jaccard_dev_3gram,max_jaccard_synth_3gram,max_jaccard_train_4gram,max_jaccard_dev_4gram,max_jaccard_synth_4gram
0,𗢳𘎪𗼃𘜶𗒛𘕕𗖵𗨳𗖰𗚩,佛説聖大乘三歸依經,0.1538,0.0769,0.0189,0.0833,0.0,0.0,0.0,0.0,0.0
1,𘊝𗡞𘟩𗁬𗓽𘆵𗖰𗚩,百千印陀羅尼經,0.3333,0.1176,0.0135,0.25,0.0625,0.0,0.1429,0.0,0.0
2,𘕕𗡪𘕋𗍓𗖍,三個懺罪頌,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,𘓐𗢳𗨻𗰲𗵘𘞵,人佛為自道長,0.04,0.0,0.0196,0.0,0.0,0.0,0.0,0.0,0.0
4,𗦬𘍞𗵘𘐡,共丸道次,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,𗼃𘜶𗥤𗶈𘟙𗴿𗖵𗄊𘜘𗖰𗚩,聖大悟蔭王求隨皆得經,0.0909,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
6,𗏁𗴮𗖰𗚩,五部經,0.1429,0.0,0.0182,0.0,0.0,0.0,0.0,0.0,0.0
7,𘌽𘕿𘙌𗫡𗗆𘋩𗖵𗨳𗡶,此於已到僧於隨歸順,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
8,𗒹𘏨𗤻𗭔𗢳𗁬𗓽𘆵𗖰𗚩,七寶華踏佛陀羅尼經,0.2727,0.1053,0.0,0.2,0.0556,0.0,0.1111,0.0,0.0
9,𗬀𗔇𘂫𘅜𘏒𘖜,伏藏變化解鍵,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0
10,𘝳𗥔𗇋𗖵𗠁𗫻𗟻𗡶𘄴𗑾,默有者隨勝住令順要論,0.2727,0.1333,0.0172,0.2,0.0714,0.0,0.1111,0.0,0.0
11,𘕕𗤀𘎆𗮔𗟲𗰖𘝞,三世屬明言集文,0.0,0.0,0.0345,0.0,0.0,0.0,0.0,0.0,0.0
12,𘈼𗪘𗦎𘍞𗮅𗧘𗅋𘙰𘟀𗡶𘜶𗿻𘜾𘙇𘎪□𘄎,如上流凡多義不同見順大鳳凰□□説□清,0.1,0.0,0.0417,0.0526,0.0,0.0,0.0,0.0,0.0
13,𗰜𗺉𗄑𗄑𘟣𘎪𗴮𘂯𗷌𗡝,根本一切有説部目得迦,0.4615,0.0,0.087,0.4167,0.0,0.0455,0.3636,0.0,0.0
14,𘏞𘛛𗹡𗹬𘜶𗹡𗹬𘖑𗆄𘋢𗥤𗫔𗗙𗖵𗨳𗍺𘐔,菩提勇識大勇識不價菩薩衆之歸依禮拜,0.15,0.0625,0.0256,0.1,0.0,0.0,0.0526,0.0,0.0
15,𗏇𘉅,雜字,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
